WORD ENTROPY DISPERSION STD CONCRETENESS
fawn N/A N/A N/A 4.3
bagpipe 281.175365296 0.200387058427 0.8933 4.97
similarity N/A N/A N/A 1.9
mackerel 276.677895549 0.198853816478 0.97612 4.89
yellow N/A N/A N/A 4.3
protest N/A N/A N/A 3.21
sleep N/A N/A N/A 4.44
hanging N/A N/A N/A 4.03
captain N/A N/A N/A 4.19
aggression N/A N/A N/A 2.68
trolley 181.111516555 0.149559825765 0.71468 4.73
muzzle N/A N/A N/A 4.59
buddy 228.934461359 0.190909366944 0.76507 3.48
swan N/A N/A N/A 4.96
disability N/A N/A N/A 3.46
bike N/A N/A N/A 5
trousers 213.765628605 0.175580150321 0.87147 4.93
pride N/A N/A N/A 1.66
blanket N/A N/A N/A 5
fur 269.390570225 0.191451489627 0.93958 4.69
monkeys N/A N/A N/A N/A
chapel N/A N/A N/A 4.6
tickets N/A N/A N/A N/A
school N/A N/A N/A 4.79
parrot N/A N/A N/A 5
wednesday N/A N/A N/A 3.14
poppy 210.363956324 0.169714553694 0.845 4.69
triumph N/A N/A N/A 2.17
clothes N/A N/A N/A 4.76
enjoy N/A N/A N/A 2.29
carnivore 245.317545981 0.188372801783 0.97015 4.17
bicycle N/A N/A N/A 4.89
feathers N/A N/A N/A N/A
japanese N/A N/A N/A N/A
horn N/A N/A N/A 5
nail N/A N/A N/A 4.93
second N/A N/A N/A 3.3
persuade N/A N/A N/A 2.07
cactus N/A N/A N/A 5
panda 183.020279447 0.144899845886 0.83721 4.75
monster N/A N/A N/A 3.72
blouse 235.174639399 0.182436893432 0.89095 4.96
cooking N/A N/A N/A 4.19
orchestra N/A N/A N/A 4.79
revolver 220.644583717 0.178919183448 0.73675 4.69
haze N/A N/A N/A 4.04
new N/A N/A N/A 2.81
hero 193.184922017 0.15914787444 0.75878 3.07
herb 208.290592815 0.165226618902 0.71225 4.57
men 302.572641481 0.206881560858 0.897 4.75
bookcase 173.889140266 0.166058188208 0.67892 4.93
possibility N/A N/A N/A 1.33
path N/A N/A N/A 4.41
cardboard N/A N/A N/A 4.9
crossbow 265.241135675 0.195338587591 0.91116 4.77
celebration N/A N/A N/A 3.47
kids N/A N/A N/A 4.61
daughter N/A N/A N/A 4.79
credit N/A N/A N/A 2.71
